Verb,Associated_Tool,Default
cook,"pot, saucepan, pan, skillet",skillet
simmer,"pot, saucepan",pot
fry,"pan, skillet, grill, barbecue, bbq, air fryer",skillet
sear,"pan, skillet, grill, barbecue, bbq, air fryer",skillet
roast,"pan, skillet, grill, barbecue, bbq, air fryer",skillet
bake,"baking dish, foil dish, casserole, baking sheet, sheet pan, pan, skillet",casserole
grill,"grill, bbq, barbecue, air fryer",barbecue
toss,"small bowl, medium bowl, large bowl, bowl, mixer",bowl
blend,blender,blender
mash,large bowl,large bowl
