Utils,Location,Define,Ambiguous_Verb,Prep_Verb,Title,Subject,Negation_subject,Ingredients,Negation_ingredient
table knife,,subject,"smear, spread",,,butter | bread | ,,,
knife,,negation_subject,peel,"pierce, slash, chop, trim, mince, dice, slit",,,plantain | banana | apple | carrots | cucumber | potatoes | mango | eggplant | pear | vegetable | paper,,
knife,,negation_ingredient,"cut, slice","pierce, slash, chop, trim, mince, dice, slit",,,,,yeast & flour | pizza dough  | pizza crust
peeler,,subject,peel,,,apple | carrots | cucumber | potatoes | mango | eggplant | pear | vegetable,,,
wooden spoon,pot | saucepan | skillet,subject,cook,"stir, sauté, saute,",,chicken,,,
spatula,skillet,title | ingredient,"flip, turn, cook",,burger | pancake,burger | pancake | quesadilla | patty,,,
tongs,bowl,subject,"mix, toss",,,pork | goat | lamb | chicken breast | chicken wing | turkey | duck | rabbit | venison | ribeye | salmon | thigh | bacon | shrimp | steak | octopus,,,
tongs,grill | bbq | air fryer | pot | saucepan | skillet,title | subject,"sear, fry, cook",,grill | bbq,pork | goat | lamb | chicken breast | chicken wing | turkey | duck | rabbit | venison | ribeye | salmon | thigh | bacon | eggplant | steak | side,,,
ladle,pot | saucepan,title | subject,serve,ladle,soup | broth | stew ,soup | broth | stew | bouillon,,,
whisk,bowl,subject,mix,"whisk, beat, whip",,spice | egg,,,
plastic sieve,,negation_subject,"drain, rinse",strain,,,towel | oil | chicken | meat | blender | beef,,
pizza roller,,ingredient & title,"slice, cut",,pizza,,,yeast & flour | pizza dough  | pizza crust,
masher,bowl,negation_subject,mash,,,,banana | avocado,,
blender,,,,blend,,,,,
brush,,subject,spread,brush,,oil,,,
scoop,,subject,remove,scoop,,seed,,,
metal sieve,,,,sift,,,,,
grater,,negation_subject,shred,grate,,,pork | chicken | beef | jerk,,
rolling pin,,subject,"roll, flatten",,,bread | dough,,,
2 forks,,subject,shred,,,pork | chicken | beef | jerk,,,
1 fork,bowl,subject,mash,,,banana | avocado,,,
spoon,,subject,spread,,,pesto | sauce | rice,,,
spoon,bowl,negation_subject,toss,,,,pork | goat | lamb | chicken breast | chicken wing | turkey | duck | rabbit | venison | ribeye | salmon | thigh | bacon | shrimp | steak | octopus,,
