URL,Preparation,Utils
https://tasty.co/recipe/healthy-banana-pancakes,"1) Mash(0) bananas in a large bowl until smooth. Mix in eggs and vanilla until well combined, then mix in oats and cinnamon. 2) Heat a skillet to medium and add in a scoop* of the pancake batter. Smooth out to form an even layer. Cook for about 2 - 3 minutes until you start to see bubbles releasing from the top of the batter. Flip(1) and cook until the other side is golden brown, about 1 - 2 minutes. 3) Garnish your pancakes with your favorite toppings! We used banana slices, chopped(2) walnuts & maple syrup. 4)* Note: Use ½ cup( 65) for scooping(3) the batter to yield 4 thicker pancakes; Use⅓ cup( 40 g) to yield 6 smaller pancakes. 5) Enjoy! ","['1 fork', 'spatula', 'knife', 'scoop']"
https://tasty.co/recipe/one-pot-broccoli-cheddar-soup,"1) Trim(0) the stems off the broccoli heads and chop into small florets. 2) In a large pot over medium heat, combine the butter and onion and sauté until translucent. Add the flour and stir(1) until the mixture lightly browns. Stir in the half- and- half and mix until the contents reach a simmer. Turn the heat to low and add the stock. Simmer for 5 - 10 minutes. 3) Mix in the broccoli, carrots, salt, pepper, and nutmeg. Simmer for 10 - 15 minutes. Add the cheese and stir until it melts and combines with the other ingredients. 4) Enjoy! ","['knife', 'wooden spoon']"
https://tasty.co/recipe/chili-cheese-dog-boats,"1) Preheat the oven to 350 ° F( 180 ° C). 2) Leaving them attached, place the 8 hot dog buns in a 9 x 13- inch( 22 x 33- cm) baking dish. Cut(0) a rectangle in each hot dog bun, making sure to stay 1 centimeter from the edges. Push down on the bread cut- out to compact it tightly into the bottom of each bun, making sure to press down on the bottom edges as well. This will help create a larger space for the fillings and reduce mess. 3) Mix the butter, garlic, and parsley in a small bowl, then brush(1) the buns and their hollowed insides with the garlic butter. Bake for 5 minutes to toast the buns as well as help the sides of the buns firm up so they do n’t collapse under the weight of the fillings. 4) Place a slice of cheddar cheese inside each bun, then spoon a bit of chili inside each one. Slide a hot dog snugly on top of the chili in each bun, then top with more chili. 5) Bake for 20 - 25 minutes, until the cheese is golden brown and the chili has started to brown. Top with fresh parsley, then slice the hot dog boats along their connected seams to serve. 6) Enjoy! ","['knife', 'brush']"
https://tasty.co/recipe/freeze-bake-chicken-pot-pies,"1) In a deep skillet, melt the butter and cook celery, carrots, and onion until tender. 2) Pour in the flour, and mix in well. 3) Stirring(0) constantly, add in the milk and chicken broth a little at a time, alternating between the two. Bring to a boil and continue stirring until thickened. 4) Add chicken, peas, salt, and pepper, and stir until combined. Remove from heat and cool. 5) Roll(1) out pie crust and use the foil pot pie dish as a template. Cut(2) a piece of dough for the bottom of the dish that is about an inch( ²¹⁄₂ cm) thicker than the widest rim of the dish, and a piece that is the same size as the rim.( Roll dough back out and repeat to make more pieces.) 6) Place the larger piece of crust in the bottom of the foil dish, fill with the cooled pot pie filling, and top with the smaller crust piece. 7) Pinch together, then seal together with a fork. Cut 4 small slits in the middle of the crust. 8) Cover each pot pie with foil and freeze for up to 2 months. 9) To bake from frozen, preheat oven to 400˚F( 200˚C), and bake for 30 minutes with the foil on top. Remove the foil and bake for another 30 minutes or until golden brown. 10) Enjoy! ","['wooden spoon', 'rolling pin', 'knife']"
https://tasty.co/recipe/black-bean-roasted-red-pepper-veggie-burgers,"1) Preheat oven to 375˚F( 190˚C). 2) In a large bowl, microwave black beans for 1 minute, or until softened. 3) Add roasted red peppers, garlic, cayenne, cumin, and salt. Mash until black beans are finely mashed. 4) Add cornmeal and mix until thoroughly combined. 5) Using a ½ cup( 120 ml) measuring cup, portion 5 patties from the mixture. Place onto a lightly greased parchment paper- lined sheet pan. 6) Bake for 30 minutes, or until firm and browned, flipping(0) over halfway through. 7) Serve burgers with your favorite fixins. 8) Enjoy! ",['spatula']
https://tasty.co/recipe/orange-cauliflower-chicken,"1) Preheat the oven to 450˚F( 230 ° C). Line a baking sheet with parchment paper and grease with nonstick spray. 2) In a medium bowl, whisk(0) together the non - dairy milk, flour, and salt. 3) One at a time, dip each cauliflower floret in the batter to coat, letting any excess batter drip off. Arrange the battered cauliflower on the prepared baking sheet, making sure they are n’t touching one another. Lightly spray with cooking spray. 4) Bake for 30–35 minutes, until the coating is crispy and beginning to brown. 5) While the cauliflower is baking, make the sauce: Heat the canola oil in a medium skillet over medium heat. When the oil is shimmering, add the garlic, ginger, and red pepper flakes. Cook for 2–3 minutes, until fragrant, stirring(1) frequently to prevent burning. 6) Add the orange juice, brown sugar, vinegar, and soy sauce. Cook for 2–3 minutes, until the brown sugar is dissolved and the mixture begins to simmer. 7) In a small bowl, stir together the cornstarch and cold water with a fork. 8) Add the slurry to the sauce, stirring to combine. Simmer for another 2 minutes, until the sauce thickens. Mix in the sesame oil, then transfer the sauce to a large bowl. 9) Toss the hot cauliflower florets in the sauce until well coated. 10) Serve the cauliflower over rice and garnish with the scallions. 11) Enjoy! ","['whisk', 'wooden spoon']"
https://tasty.co/recipe/vegetable-dumpling-soup,"1) In a small mixing bowl, combine flour, baking powder, and salt with a spatula. Form a well in the middle of the dry mixture and add 2 tablespoons olive oil and warm water. Mix until dough forms in to a sticky ball. Cover with a dish towel and set aside. 2) In large pot or Dutch oven, add the olive oil over medium heat. Once the oil begins to shimmer, add the onion and carrot and cook for about 4 - 5 minutes, or until the onions are semi - translucent. 3) Add in the garlic, dill, sage, thyme, and pepper, and cook for 2 - 3 more minutes until herbs are fragrant. 4) Stir(0) in potatoes, vegetable broth, and bay leaves, and bring to a boil. 5. Reduce heat to medium- high and simmer about 8 minutes or until potatoes are about 75 percent cooked through. 5) Carefully drop in dollops of the dumpling dough, about 1 inch( 2- cm) in diameter. 6) Let dumplings simmer for about 10 minutes, or until chewy and cooked through. 7) To serve(1), garnish with lots of fresh parsley. 8) Enjoy! ","['wooden spoon', 'ladle']"
https://tasty.co/recipe/somali-bariis-as-made-by-amal-dalmar,"1) Preheat the oven to 350 ° F( 180 ° C). 2) Make the xawaash: In a medium bowl, combine the cumin, coriander, turmeric, cardamom, black pepper, cloves, and nutmeg. Set aside. 3) Heat a medium oven- safe pan over medium- high heat. Add the vegetable oil, onion, tomato, garlic, and cinnamon stick. Cook until the onions have softened slightly, 5 - 6 minutes. 4) Season with salt, then add the vegetable stock cube and cilantro. Cook for 1 minute, breaking up the stock cube. 5) Reduce the heat to medium, then stir(0) in the xawaash and soaked rice. Cook for about 3 minutes so rice grains lightly toast. 6) Pour in the hot water and increase the heat to high to bring to a boil. Cover the pot, transfer to the oven, and bake for 20 minutes. Check periodically to be sure the rice has enough water. 7) Remove the cooked rice from the oven and drizzle the red and orange food colorings on top. Gently mix so there are different colored grains. 8) Sprinkle the raisins over the hot rice, cover, and set aside. 9) To prepare the topping, mix the potatoes with the orange food coloring in a medium bowl( wear gloves to avoid stained fingers!). 10) Heat about 1 inch( 2 cm) of oil in a large heavy- bottomed saucepan. Add the potatoes and cook for 5 - 6 minutes, then transfer to a baking sheet lined with paper towels to drain the excess oil. 11) In the same oil, fry the onion slices until browned and crispy, 2 - 3 minutes. Add the red peppers cooking for an additional minute. Drain on paper towels. 12) To assemble the rice, transfer the pilaf to a large serving platter. Top with the fried potatoes, crispy onions, and red bell peppers. 13) Enjoy! ",['wooden spoon']
https://tasty.co/recipe/veggie-roast-and-tuna-salad,"1) Roast the brussel sprouts and bell pepper with za’atar, salt, olive oil and balsamic vinegar at 400 ° F for 25 - 30 minutes or more, depending on how charred you like your veggies. 2) Once the veggies are roasted, take a salad bowl and mix the sprouts, bell pepper and canned tuna together. Then, mix together dressing ingredients and, once combined, toss salad in this. 3) Fry a few capers and slivers of small onions and garlic in olive oil and add this on top of the salad. 4) Finish the salad with a final dash of balsamic vinegar, toasted bread croutons, a sprinkle of fresh parsley, za’atar spice mix and red chilli flakes. ",[]
https://tasty.co/recipe/giant-chocolate-chip-cookies,"1) Preheat the oven to 410 ° F and line two baking sheets with parchment paper. 2) In a large mixing bowl fitted with a paddle attachment, mix the butter with the granulated and brown sugar until light and fluffy. 3) Add eggs one at a time, until fully combined. 4) Add the vanilla extract and mix until fully combined. 5) In a separate bowl, lightly whisk(0) together both flours, baking soda, cornstarch, and salt. 6) Add the dry mixture to the wet mixture until fully combined, and then mix in chocolate chips. 7) Make large balls with the dough, only putting 4 cookies on each pan and leaving space to spread between each cookie. 8) Bake for 9 - 12 minutes, or until lightly- browned on the top. 9) Let cool for 10 minutes and then enjoy! ",['whisk']
