Nouns,Occurrence
banana,95
bowl,2452
egg,980
vanilla,300
oat,95
cinnamon,232
skillet,562
scoop,68
pancake,66
batter,438
layer,367
minute,4339
bubble,42
top,933
side,1044
topping,100
slice,490
walnut,46
maple,104
syrup,224
note,39
cup,678
g,180
stem,63
broccoli,101
head,22
floret,46
pot,756
heat,1880
butter,856
onion,1027
flour,748
mixture,1170
half,575
content,17
simmer,141
stock,167
carrot,209
salt,2011
pepper,1638
nutmeg,72
cheese,883
ingredient,454
oven,1429
°,812
f,672
c,646
dog,32
bun,117
inch,590
cm,559
baking,1231
dish,322
rectangle,58
centimeter,8
edge,336
bread,422
cut,26
out,2
bottom,336
space,30
filling,232
mess,1
garlic,1111
parsley,258
inside,35
weight,11
cheddar,107
bit,146
chili,208
boat,5
seam,53
celery,67
milk,541
chicken,1362
broth,170
time,310
boil,340
pea,61
pie,114
crust,253
foil,184
template,6
piece,429
dough,1025
rim,25
size,135
fork,217
slit,44
middle,83
month,70
bean,228
cayenne,87
cumin,170
cornmeal,23
a,3
½,43
ml,166
measuring,88
patty,87
parchment,520
paper,682
sheet,889
pan,1657
burger,85
fixin,2
nonstick,77
spray,93
cauliflower,147
cooking,110
coating,15
sauce,1204
canola,79
oil,1878
ginger,221
flake,108
burning,8
orange,113
juice,579
sugar,904
vinegar,209
soy,194
cornstarch,89
water,965
slurry,11
sesame,177
rice,542
scallion,134
mixing,77
powder,664
spatula,228
well,56
tablespoon,660
ball,266
towel,305
olive,527
dill,42
sage,47
thyme,126
herb,39
potato,561
vegetable,506
bay,69
leave,158
percent,2
dollop,38
dumpling,42
diameter,20
lot,7
xawaash,2
coriander,78
turmeric,62
cardamom,39
clove,110
tomato,519
stick,62
cube,130
cilantro,221
grain,28
food,270
coloring,30
raisin,34
glove,18
finger,88
saucepan,219
pilaf,4
serving,137
platter,54
bell,152
brussel,10
sprout,79
za’atar,8
balsamic,10
veggie,91
salad,116
tuna,7
dressing,196
caper,20
sliver,4
dash,4
crouton,10
sprinkle,47
spice,181
mix,138
chilli,29
paddle,9
attachment,17
extract,117
soda,92
chocolate,286
chip,143
cookie,210
breast,157
cooker,114
ketchup,34
apple,193
cider,75
paprika,192
hour,604
mayonnaise,53
kind,1
cabbage,83
slaw,18
rack,263
third,40
peeler,22
skin,157
flesh,33
butternut,28
squash,242
seed,305
pulp,27
par,1
cutting,126
hand,306
board,137
knife,183
⅛-inch,17
mm,80
¾,15
way,91
shallot,95
mustard,126
hazelnut,21
pomegranate,26
chive,74
center,317
honey,209
liquid,317
rest,141
beef,221
color,83
chipotle,28
pinch,87
paste,199
kidney,20
cornbread,20
golf,22
lid,184
cream,612
cocoa,82
berry,41
pear,46
lemon,413
cranberry,47
tofu,95
lettuce,66
corn,149
sofrita,1
pico,19
gallo,20
guacamole,28
white,106
peak,62
gel,7
macaron,55
piping,50
bag,156
tip,61
surface,257
air,21
room,133
temperature,292
buttercream,29
frosting,125
choice,53
shell,64
sandwich,96
result,8
cake,417
toothpick,88
pork,257
chorizo,14
grease,11
remaining,290
adding,8
can,30
coconut,232
eggplant,97
frying,46
fry,68
second,238
biriyani,2
quart,42
tbsp,55
knob,9
yolk,100
flame,19
nut,38
drizzle,75
noodle,160
package,52
direction,11
poultry,3
seasoning,142
oregano,108
alfredo,6
garnish,50
boiler,5
pudding,25
day,115
marinade,140
bruschetta,2
glaze,77
mousse,3
zest,95
back,45
spoon,205
whipping,5
pod,22
mixer,146
whisk,16
refrigerator,241
crumble,23
fruit,92
wheat,31
oats,7
tray,120
stove,17
tsp,29
muffin,101
tin,88
liner,18
buttermilk,54
one,6
ice,239
measurement,1
blender,248
purée,11
cashew,52
garam,24
masala,40
paneer,11
curry,67
fenugreek,9
flatbread,13
pasilla,4
soup,51
immersion,18
pepita,7
cupcake,49
need,4
