Verbs,Occurrence
mash,129
mix,1221
combine,1680
heat,781
add,4678
smooth,93
form,319
cook,2268
start,216
see,21
release,93
flip,237
be,1447
garnish,323
use,868
chop,241
scoop,153
yield,3
enjoy,2036
trim,64
sauté,206
stir,1694
brown,367
reach,179
turn,313
simmer,282
melt,532
preheat,899
leave,131
attach,9
place,1309
cut,701
stay,18
push,57
compact,2
make,893
press,202
help,57
create,129
reduce,393
brush,243
hollow,16
bake,1079
toast,132
firm,7
collapse,1
spoon,106
slide,29
top,629
slice,663
connect,5
serve,1146
pour,781
alternate,21
bring,283
continue,194
thicken,175
remove,1263
cool,676
roll,401
repeat,286
fill,211
pinch,32
seal,106
cover,876
freeze,179
microwave,116
soften,221
roast,201
portion,12
grease,258
line,458
whisk,633
dip,122
coat,641
drip,18
arrange,152
batter,10
prepare,298
touch,33
spray,39
shimmer,115
prevent,62
dissolve,111
begin,236
transfer,800
toss,421
set,995
drop,25
let,778
season,607
break,124
soak,92
increase,76
check,31
have,124
drizzle,245
color,8
sprinkle,469
wear,4
avoid,22
stain,2
drain,258
fry,314
assemble,107
depend,13
like,30
take,146
can,11
finish,66
fit,57
granulate,41
put,96
spread,450
shre,4
peel,102
expose,13
handle,30
return,154
warm,64
caramelize,87
taste,147
get,61
beat,295
smoke,48
dice,111
shape,58
size,9
steam,56
sift,76
fold,330
incorporate,327
harden,22
powder,108
crisp,39
squeeze,52
dry,153
crumble,38
layer,69
want,29
pipe,44
tap,20
sit,130
allow,170
remain,404
bloom,25
come,171
’,34
need,167
eat,44
keep,155
grill,45
crack,45
ladle,40
boil,159
grate,58
pan,7
crush,102
burn,41
pre,12
-,26
blend,294
evaporate,59
over,4
whip,96
store,114
cube,40
chill,203
rub,64
divide,155
insert,73
blitz,4
strain,91
mince,69
desire,277
lower,29
worry,1
refrigerate,197
achieve,11
frost,18
emulsify,25
sweeten,8
prefer,13
wrap,155
sprout,2
splutter,2
float,14
note,17
enhance,2
buy,4
grind,155
infuse,18
pulse,101
marinate,146
ensure,49
apply,5
go,39
stick,88
lay,131
shred,132
stand,28
rinse,60
absorb,67
sweat,10
wilt,49
close,66
hear,3
select,9
say,4
count,3
move,29
bubble,74
reserve,172
run,63
distribute,85
separate,49
clear,5
scramble,26
rest,199
split,10
shave,12
juice,4
screw,3
give,28
massage,13
cast,42
do,65
work,107
feel,10
unwrap,35
broil,72
halve,16
