Utils,Define,Ambiguous_Verb,Prep_Verb,Title,Location,Ingredients,Negation_ingredient,Negation_subject,Subject
knife,negation_subject,peel,"pierce, slash, chop, trim, mince, dice, slit, halve, carve, puncture",,,,,plantain | banana | apple | carrots | cucumber | potatoes | mango | eggplant | pear | vegetable | paper,
knife,subject,"spread, smear",,,,,,,avocado | jelly | butter | bread | baguette
knife,negation_ingredient,"cut, slice",,,,,yeast & flour | pizza dough  | pizza crust,,
peeler,subject,peel,,,,,,,apple | carrots | cucumber | potatoes | mango | eggplant | pear | vegetable
wooden spoon,subject & location ,"cook, scrape, roast","saute, sauté, scramble, stir",,pot | skillet | pan | saucepan,,,,bit | broccoli | chicken | pineapple
spatula,title | ingredient,"flip, cook",,burger | pancake | quesadilla,skillet | pan,burger | pancake | quesadilla,,,
tongs,subject,"cook, turn, transfer, flip, sear, fry, remove",,,grill | bbq | air fryer | skillet | pan | pot | bowl | saucepan,,,,side | pork | goat | lamb | breast | wing | thigh | turkey | duck | rabbit | venison | ribeye | salmon | thigh | bacon | eggplant
ladle,title | subject,serve,ladle,soup | broth | stew | bisque,pot | saucepan,,,,soup | broth | stew | bouillon | bisque
whisk,subject,mix,"whisk, beat, whip, batter",,bowl,,,,egg
plastic sieve,negation_subject,"drain, rinse",strain,,,,,towel | oil | chicken | meat | blender | beef,
pizza roller,ingredient & title,"slice, cut",,pizza,,yeast & flour | pizza dough  | pizza crust,,,
masher,negation_subject,mash,,,bowl,,,banana | avocado,
blender,,,blend,,,,,,
brush,subject,spread,"brush, glaze",,,,,,oil | ribs | glaze
scoop,subject,remove,scoop,,,,,,seed
metal sieve,,,sift,,,,,,
grater,negation_subject,shred,grate,,,,,pork | chicken | beef | jerk,
rolling pin,subject,flatten,,,,,,,bread | dough
2 forks,subject,shred,,,,,,,pork | chicken | beef | jerk
1 fork,subject,"mash, smash",,,bowl,,,,tuna | banana | avocado | spice | salt | pepper
spoon,subject,spread,spoon,,,,,,pesto | sauce | rice | mixture
spoon,subject,skim,,,,,,,fat
spoon,subject,scrape,,,,,,,seed | hair 
silicon spoon,subject,"scrape, spread",,,,,,,bowl | side | container | paste | filling
oven gloves,subject,"transfer, move, place",,,pot | skillet | pan | saucepan,,,,oven | stove
